animal,window_size,slope_running_avg,intercept_running_avg,mean_running_avg,sum_running_avg
BM24,1,0.0005297500735384944,0.3592636373118245,0.514480408858603,302.0
BM24,3,0.0005176196886889298,0.36338496543274684,0.5145299145299145,301.0
BM24,9,0.0004977607532238569,0.37255474162745916,0.5164075993091537,299.0
BM24,27,0.0004891060993217163,0.3892931125503871,0.5262428203604673,295.2222222222222
BM26,1,-0.00020946185180160403,0.572325556000437,0.5377643504531722,178.0
BM26,3,-0.00017612555235803763,0.5658653403334254,0.5369807497467072,176.66666666666666
BM26,9,-0.00027040225362117017,0.5798264724993312,0.5362917096663227,173.22222222222223
BM26,27,-0.00037271067951674897,0.6003071538269223,0.5436551305403763,165.81481481481478
BM27,1,-4.961022343135988e-06,0.5048776031075195,0.5034364261168385,293.0
BM27,3,-1.694416451891897e-05,0.5089283241339742,0.5040229885057471,292.3333333333333
BM27,9,-3.377421176247415e-05,0.515096365870491,0.505420054200542,290.11111111111114
BM27,27,-4.2111005261491245e-05,0.5218776504828456,0.5101918465227817,283.66666666666663
BM28,1,0.00013769184712729893,0.4229710676216797,0.4638655462184874,276.0
BM28,3,0.0001448060048397315,0.42088109879003627,0.463743676222597,275.0
BM28,9,0.0001473802266534774,0.42208354096891476,0.46526594737838345,273.1111111111111
BM28,27,0.00014918198764594102,0.42030236693080103,0.4626700514222482,263.25925925925924
BM29,1,0.0015870542344983418,0.2337946617709364,0.4639175257731959,135.0
BM29,3,0.0016444272096938846,0.22687030187328472,0.46366782006920415,134.0
BM29,9,0.0016074779462261712,0.23859884868693906,0.4652532391048293,131.66666666666669
BM29,27,0.0015191399501230682,0.27214997661869567,0.4726764500349406,125.25925925925925
BM30,1,0.0005928402542354663,0.29793943952071233,0.5842812823164426,565.0
BM30,3,0.0005900796940982996,0.30003754599384236,0.5844559585492228,564.0
BM30,9,0.0005881010674490101,0.30432670026648123,0.5860271115745568,562.0
BM30,27,0.0006023055911450169,0.30695061469342777,0.5900342425315859,555.2222222222223
